Date,Type,Confirmation Code,Start Date,Nights,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Earnings Year
09/02/2022,Payout,,,,PHP,,3055.5,,,
09/02/2022,Reservation,HM9WSB8ET8,09/01/2022,2,PHP,3055.5,,94.5,400,2022
08/28/2022,Payout,,,,PHP,,3686,,,
08/28/2022,Reservation,HMPPZPBPP5,08/27/2022,3,PHP,3686,,114,350,2022
08/27/2022,Payout,,,,PHP,,1843,,,
08/27/2022,Reservation,HM2RTRZNRD,08/26/2022,1,PHP,1843,,57,400,2022
08/25/2022,Payout,,,,PHP,,2884.78,,,
08/25/2022,Reservation,HMNQ3N8QNK,08/24/2022,2,PHP,2884.78,,89.22,400,2022
08/22/2022,Payout,,,,PHP,,2884.78,,,
08/22/2022,Reservation,HMNS53YDRT,08/21/2022,2,PHP,2884.78,,89.22,400,2022
08/17/2022,Payout,,,,PHP,,4801.5,,,
08/17/2022,Reservation,HMPQCFZBDM,08/16/2022,4,PHP,4801.5,,148.5,350,2022
08/14/2022,Payout,,,,PHP,,3336.8,,,
08/14/2022,Reservation,HMJWTCSBWQ,08/13/2022,2,PHP,3336.8,,103.2,400,2022
08/12/2022,Payout,,,,PHP,,3053.56,,,
08/12/2022,Reservation,HMKCCDC5CF,08/11/2022,2,PHP,3053.56,,94.44,350,2022
08/11/2022,Payout,,,,PHP,,1890.04,,,
08/11/2022,Reservation,HMD5BTNN3E,08/10/2022,3,PHP,1890.04,,58.46,0,2022
08/06/2022,Payout,,,,PHP,,4820.9,,,
08/06/2022,Reservation,HMNTTEAQ25,08/05/2022,4,PHP,4820.9,,149.1,350,2022
08/02/2022,Payout,,,,PHP,,5380.59,,,
08/02/2022,Reservation,HMK448NX59,08/01/2022,4,PHP,5380.59,,166.41,350,2022
07/31/2022,Payout,,,,PHP,,3053.56,,,
07/31/2022,Reservation,HMX4WBSB8K,07/30/2022,2,PHP,3053.56,,94.44,350,2022
07/28/2022,Payout,,,,PHP,,4476.03,,,
07/28/2022,Reservation,HMPAKD2XAT,07/27/2022,3,PHP,3976.03,,122.97,499,2022
07/28/2022,Resolution Payout,HMPAKD2XAT,07/27/2022,3,PHP,500,,,,2022
07/25/2022,Payout,,,,PHP,,2570.5,,,
07/25/2022,Reservation,HMSHQF43PA,07/24/2022,2,PHP,2570.5,,79.5,350,2022
07/24/2022,Payout,,,,PHP,,1793.53,,,
07/24/2022,Reservation,HM843QN9XJ,07/23/2022,1,PHP,1793.53,,55.47,350,2022
07/17/2022,Payout,,,,PHP,,8475.86,,,
07/17/2022,Reservation,HMS2NN9JCD,07/16/2022,7,PHP,8475.86,,262.14,350,2022
07/06/2022,Payout,,,,PHP,,12648.8,,,
07/06/2022,Reservation,HMEZPNPHWX,07/05/2022,11,PHP,12648.8,,391.2,350,2022
07/04/2022,Payout,,,,PHP,,2899.33,,,
07/04/2022,Reservation,HM4ZRP9RMR,07/03/2022,2,PHP,2899.33,,89.67,350,2022
07/02/2022,Payout,,,,PHP,,2570.5,,,
07/02/2022,Reservation,HMZY3F58Q9,07/01/2022,2,PHP,2570.5,,79.5,350,2022
06/27/2022,Payout,,,,PHP,,4267.03,,,
06/27/2022,Reservation,HM9T3CRRRB,06/26/2022,5,PHP,4267.03,,131.97,499,2022
06/23/2022,Payout,,,,PHP,,4947,,,
